zid,statusType,statusText,timeOnZillow,price,pricePerSqFt,zestimate,zestimatePerSqFt,rentZestimate,area,lotSize,lotAreaUnit,beds,baths,address,addressStreet,addressCity,addressState,addressZipcode,latitude,longitude,brokerName,isZillowOwned,detailUrl
2707643,FOR_SALE,Foreclosure,,69900,68,101300,98,1099,1033,6272.64,sqft,3,1,"8041 Titus Rd, Saint Louis, MO 63114",8041 Titus Rd,Saint Louis,MO,63114,38.691387,-90.33065,RE/MAX Best Choice St. Louis,FALSE,https://www.zillow.com/homedetails/8041-Titus-Rd-Saint-Louis-MO-63114/2707643_zpid/
2659560,FOR_SALE,House for sale,,50000,48,53600,52,874,1040,0.253,acres,2,1,"9801 Diamond Dr, Saint Louis, MO 63137",9801 Diamond Dr,Saint Louis,MO,63137,38.743946,-90.21038,"The Realty Dot, Inc",FALSE,https://www.zillow.com/homedetails/9801-Diamond-Dr-Saint-Louis-MO-63137/2659560_zpid/
2645780,FOR_SALE,House for sale,,54500,50,,,,1080,8450.64,sqft,2,1,"10043 Diamond Dr, Saint Louis, MO 63137",10043 Diamond Dr,Saint Louis,MO,63137,38.749714,-90.211365,Coldwell Banker Realty - Gunda,FALSE,https://www.zillow.com/homedetails/10043-Diamond-Dr-Saint-Louis-MO-63137/2645780_zpid/
2634846,FOR_SALE,House for sale,,75000,82,76300,84,931,912,0.259,acres,3,2,"10439 Coburg Lands Dr, Saint Louis, MO 63137",10439 Coburg Lands Dr,Saint Louis,MO,63137,38.76051,-90.22434,Worth Clark Realty,FALSE,https://www.zillow.com/homedetails/10439-Coburg-Lands-Dr-Saint-Louis-MO-63137/2634846_zpid/
2655299,FOR_SALE,House for sale,,56000,58,,,995,960,5357.88,sqft,3,1,"6147 Shillington Ln, Saint Louis, MO 63134",6147 Shillington Ln,Saint Louis,MO,63134,38.748222,-90.32117,"Sandy Bender, Real Estate",FALSE,https://www.zillow.com/homedetails/6147-Shillington-Ln-Saint-Louis-MO-63134/2655299_zpid/
2665082,FOR_SALE,House for sale,,75000,65,115400,100,999,1155,0.265,acres,4,1,"410 S Harvey Ave, Saint Louis, MO 63135",410 S Harvey Ave,Saint Louis,MO,63135,38.735878,-90.312515,Coldwell Banker Premier Group,FALSE,https://www.zillow.com/homedetails/410-S-Harvey-Ave-Saint-Louis-MO-63135/2665082_zpid/
2655446,FOR_SALE,House for sale,,59900,83,63000,88,850,720,6141.96,sqft,2,1,"8045 Busiek Ave, Saint Louis, MO 63134",8045 Busiek Ave,Saint Louis,MO,63134,38.751236,-90.32157,"EXP Realty, LLC",FALSE,https://www.zillow.com/homedetails/8045-Busiek-Ave-Saint-Louis-MO-63134/2655446_zpid/
2869837,FOR_SALE,House for sale,,200000,126,,,,1582,7797.24,sqft,3,2,"717 Zeiss Ave, Saint Louis, MO 63125",717 Zeiss Ave,Saint Louis,MO,63125,38.542397,-90.28435,Realty Executives of St. Louis,FALSE,https://www.zillow.com/homedetails/717-Zeiss-Ave-Saint-Louis-MO-63125/2869837_zpid/
2679894,FOR_SALE,Coming soon,,165000,95,129700,75,963,1728,6490.44,sqft,3,2,"9242 Guthrie Ave, Saint Louis, MO 63134",9242 Guthrie Ave,Saint Louis,MO,63134,38.72686,-90.353584,"Hero Realty, LLC",FALSE,https://www.zillow.com/homedetails/9242-Guthrie-Ave-Saint-Louis-MO-63134/2679894_zpid/
2630626,FOR_SALE,House for sale,,155000,142,141300,129,1298,1092,7492.32,sqft,3,2,"210 Saint Edward Ln, Florissant, MO 63033",210 Saint Edward Ln,Florissant,MO,63033,38.78289,-90.31173,Berkshire Hathaway Select,FALSE,https://www.zillow.com/homedetails/210-Saint-Edward-Ln-Florissant-MO-63033/2630626_zpid/
